text,label
_ ابن مخيمات احسن ماكون ابن متعة 😂😂😂😂,1
_ ابن مخيمات احسن ماكون ابن متعة 😂😂😂😂,1
يقهروني ذي النوعية من اولاد شوارع ودي امسكهم وامسح بهم لأرض وافرك فيهم الين يقولو امين,1
_ _ لانهم بدون اصول أولاد شوارع فبهذا يحاولون ان يرمون ما يحملون على الناس الشرفاء ثانيًا يعرف,1
صحت يديك على هالتغريده اشوفها ضاغطه جرذان واجد😂😂😂😂💔,1
أخت مشاعل تغريدتك وردي عليها أحرقت جرذان الفقيه والمسعري,1
اي ووالله جرذان,1
"#طربق_عليه_المنداف 
جرذان مخلوف",1
_ سيدكم يا جرذان الدعاره,1
جرذان تقفز من سفينة غارقة,1
"بكل بساطه"""" لوجود جرذان مثل جرذ الضاحيه الجنوبيه يخرمون السفينه بااستمرار لم يبقى بها الا براغي الحديد",1
"الصحيح أن نقولَ جِرذان بكسر الجيم، لا جُرذان بالضم، والمفردُ جُرَذ بضمِّ الجيم وفتح الراء، كـ صُرَد وصِردان",1
_ جرذان المرجعيات العمائم العفنه كلهم زباله الفرس المجوس حاشاكم,1
هذا جرذ من جرذان النهقة تقصت عليه الفانة متع الشيخ أخي دخل في حيط,1
"على كيف امك شهيد 
كل من فطس من جرذان حزب الزباله
رشحتوه شهيد 
الي 🔥🔥",1
"من حافظ بإنضباط على أرض بوعيّ، وبالدم على وحدت وطن،
 لن يعير إهتمامه جرذان سامة موجهة",1
"كل احذيتهم وانتو بكرامة خلف المصور 
اكاد ان اجزم بهذا  
لا المكان ساحة قتال ولا ملابسهم رثة ولا علي",1
سؤال غبي اللي كتبه من جرذان الضاحية با مصدق نظرية المؤامرة,1
الذين يحكمون الجزائر صهاينة أمثالك وبقايا حثالة الحركى الخونة جرذان فرنسا الإرهابية ؛ وعندما نكنسهم بإذن,1
وهل يأتي جرذان طهران لأوطاننا إلا بالشر والفتنة والحروب الأهلية؟!!!!,1
جرذان الخميني يهربون بس ياحرام مافطس الاسته ليتهم كلهم راحوا,1
اذا قبل احرار الكويت بوصاية صهاينة الخليج وتدخل جرذان نتنياهو فقد اضاعز دينهم ودنياهم,1
هروب جرذان حزب اللآت,1
"مين حزب الاات ذا 
شلة جرذان مدحوشين بسراديب 
المملكه العربيه السعوديه🇸🇦
بس قفلت بند المساعدات عنكم
غر",1
جرذان الجهل لا يأنسون إلا بقاذورات الصرف الصحي,1
هذه من حركات جرذان صهههييييييون,1
"#حسين_الغاوي_نحن_معك

ما يهم الاسود نبح الكلاب، ولا يهز طويق جرذان الخلا 
اقدم وحنا معك يا حسين 
اقسم بالله ا",1
الحاجه البتغيظ انو الكيزان قتلوا جون قرنق والليله بترحموا عليه وعاملنو ايقونة للتفاني الفكري والنضال ما قلتو نوبه يا جرذان 😂😏😂,1
"هذا التقدم والخير الذي نحن فيه يزعج جرذان العالم الثالث، ومن هنا ياتي الحقد ومحاولة عرقلة عجلة التطور",1
"لانه ماعندكم تريس ياحمزة التهامي ، هذا الفرق بينك وبين اللي تسمي فيهم جرذان",1
دويله القراد والقراد الاخر عباره عن جرذان مجاري اكرمك الله المتحكم فيهم 🐒غاز والصفييون المجوس والمقاول عز,1
"#غير_المحصنين 
قبل ساعات اطلاق نار كثيف بين كلاب حزززب اللاااات في لبنان  حصيلة القتلى الى الان وصل الى  شخص ه",1
"#المرحلة_الابتدائية 
قبل ساعات اطلاق نار كثيف بين كلاب حزززب اللاااات في لبنان  حصيلة القتلى الى الان وصل الى",1
"#توصيتنا_يامحمد_بن_سلمان
قبل ساعات اطلاق نار كثيف بين كلاب حزززب اللاااات في لبنان  حصيلة القتلى الى الان وصل الى",1
